net,length_um
clknet_leaf_35_clk,136.74
clknet_leaf_101_clk,135.56
_01155_,135.44
_04725_,134.98
regfile_inst.RegisterFile\[17\]\[3\],134.88
_01311_,134.83
clknet_leaf_19_clk,134.345
net155,132.68
net48,132.39
net154,132.06
clknet_leaf_100_clk,131.88
_03091_,131.545
_01268_,130.485
clknet_leaf_31_clk,130.255
_01226_,128.88
clknet_leaf_7_clk,128.34
_01148_,128.19
_02367_,127.66
net114,127.2
_01386_,126.84
_01154_,126.77
net50,126.665
clknet_leaf_55_clk,126.5
net119,126.3
_01244_,125.87
clknet_leaf_90_clk,125.66
clknet_leaf_11_clk,125.36
clknet_leaf_45_clk,125.3
net164,124.28
_04232_,124.22
clknet_leaf_91_clk,124.16
clknet_leaf_44_clk,123.92
net70,123.64
clknet_leaf_25_clk,123.6
clknet_leaf_89_clk,123.56
regfile_inst.RegisterFile\[17\]\[5\],122.66
clknet_leaf_29_clk,122.56
clknet_leaf_60_clk,122.56
net71,122.3
net163,122.19
_01575_,120.19
clknet_leaf_41_clk,120.08
net101,119.965
clknet_leaf_84_clk,119.575
net61,119.43
_01563_,119.13
_03994_,119.1
clknet_leaf_97_clk,119.06
_04753_,119.03
_02977_,118.98
net62,118.98
_03249_,118.86
_02216_,118.5
_01463_,117.96
net116,117.96
net59,117.92
clknet_leaf_71_clk,117.66
net77,117.62
_01508_,117.48
_01653_,116.69
_03737_,116.68
regfile_inst.RegisterFile\[22\]\[7\],116.38
clknet_leaf_27_clk,116.02
_01125_,115.74
_01943_,115.02
clknet_leaf_51_clk,114.62
clknet_leaf_68_clk,114.06
net60,113.88
clknet_leaf_78_clk,113.44
net78,112.68
net76,112.58
net57,112.35
_02935_,111.8
_01336_,111.62
regfile_inst.RegisterFile\[21\]\[7\],111.58
net54,111.22
_03222_,111.08
_01290_,110.82
_01627_,110.56
clknet_leaf_87_clk,110.02
_04758_,109.53
clknet_leaf_79_clk,109.38
clknet_leaf_102_clk,109.3
clknet_leaf_21_clk,108.82
clknet_leaf_81_clk,108.38
_04012_,108.03
regfile_inst.RegisterFile\[9\]\[13\],107.82
_01576_,107.6
clknet_leaf_77_clk,107.4
net141,107.09
_01201_,106.9
clknet_leaf_36_clk,105.82
clknet_leaf_73_clk,105.1
clknet_leaf_65_clk,105.06
_03184_,104.98
net49,104.98
_01487_,104.91
net51,104.7
_01568_,104.685
clknet_leaf_54_clk,104.35
_01151_,104.33
clknet_leaf_98_clk,104.18
_01144_,103.9
_03748_,103.56
_01183_,103.49
_03210_,102.84
_04527_,102.3
net73,101.51
_04288_,101.36
_02181_,101.26
_03923_,100.47
net52,100.22
_03196_,99.83
_03065_,99.72
_01146_,99.6
net144,99.42
clknet_leaf_3_clk,99.3
clknet_leaf_30_clk,99.04
_01124_,98.96
_01592_,98.9
_01276_,98.88
_01352_,98.78
net143,98.5
clknet_leaf_50_clk,98.44
regfile_inst.RegisterFile\[21\]\[3\],98.2
_03676_,98.08
clknet_leaf_93_clk,98.01
clknet_leaf_24_clk,97.9
_01243_,97.88
_01773_,97.82
_01437_,97.72
regfile_inst.RegisterFile\[22\]\[5\],97.555
net152,97.09
net55,97
net124,96.93
_02792_,96.34
_03704_,95.94
_01304_,95.91
clknet_leaf_69_clk,95.9
clknet_leaf_76_clk,95.56
regfile_inst.RegisterFile\[23\]\[7\],95.5
clknet_leaf_28_clk,95.45
_02501_,95.44
clknet_leaf_59_clk,95.06
_01247_,94.64
clknet_leaf_26_clk,94.4
net53,94.38
_01206_,94.14
clknet_leaf_16_clk,94.1
_02386_,93.73
clknet_leaf_8_clk,93.08
clknet_leaf_92_clk,93.02
regfile_inst.RegisterFile\[11\]\[25\],92.92
_01127_,92.5
net64,91.74
net66,91.68
clknet_leaf_37_clk,91.44
net56,91.26
_03869_,91
net115,90.59
net63,90.02
_05056_,90
_01119_,89.825
clknet_leaf_99_clk,89.78
clknet_leaf_63_clk,89.7
net75,89.48
_01351_,89.28
clknet_leaf_38_clk,89.28
_03465_,88.98
clknet_leaf_52_clk,88.8
_03384_,88.64
net65,88.36
_01957_,88.24
regfile_inst.RegisterFile\[24\]\[2\],87.59
_01688_,87.52
net74,87.27
regfile_inst.RegisterFile\[10\]\[25\],87.26
net72,87.17
_01180_,87.06
_02031_,86.98
_03077_,86.52
_03023_,86.26
regfile_inst.RegisterFile\[28\]\[2\],86.1
clknet_leaf_32_clk,86.1
net139,86.03
net69,85.42
clknet_leaf_22_clk,85.36
clknet_leaf_34_clk,85.04
_03995_,84.98
_01741_,84.95
net135,84.86
_01193_,84.59
net58,84.47
regfile_inst.RegisterFile\[21\]\[22\],84.38
clknet_leaf_85_clk,83.98
_04409_,83.79
_03732_,83.4
_01195_,82.895
clknet_leaf_106_clk,82.48
net153,81.9
clknet_leaf_10_clk,81.88
_03156_,81.82
_01205_,81.8
_01314_,81.72
clknet_leaf_61_clk,81.7
clknet_leaf_1_clk,81.62
_01272_,81.52
_04054_,81.42
regfile_inst.RegisterFile\[16\]\[6\],81.33
clknet_leaf_108_clk,81.12
clknet_leaf_47_clk,81.1
regfile_inst.RegisterFile\[20\]\[3\],80.91
_01844_,80.54
_01128_,80.46
_04347_,80.36
_02800_,80.34
_01730_,80.16
clknet_leaf_75_clk,80.08
_01641_,79.98
_02895_,79
_03035_,78.88
regfile_inst.RegisterFile\[26\]\[4\],78.645
_01123_,78.48
clknet_leaf_42_clk,78.42
_02956_,78.33
_04443_,78.24
clknet_leaf_64_clk,77.64
net104,77.42
_01282_,77.32
_03821_,77.12
_02866_,77.1
clknet_leaf_4_clk,76.86
clknet_leaf_15_clk,76.82
_01366_,76.78
_04086_,76.74
_01762_,76.7
_04406_,76.44
_03904_,76.26
_03045_,75.76
_04350_,75.68
_02876_,75.515
clknet_leaf_9_clk,75.195
_01777_,75.02
net106,74.78
_04394_,74.64
_01189_,74.46
_01746_,73.93
_01122_,73.4
_01400_,73.4
_01196_,73.39
_02967_,72.84
regfile_inst.RegisterFile\[28\]\[6\],72.84
_01604_,72.38
_01451_,72.16
_01212_,72.08
_01780_,71.6
_02844_,71.4
_01749_,71.24
clknet_leaf_80_clk,71
_01639_,70.72
_01711_,70.68
regfile_inst.RegisterFile\[11\]\[27\],70.68
_04637_,69.94
net161,69.64
_04115_,69.3
clknet_leaf_96_clk,69.12
clknet_leaf_74_clk,68.95
regfile_inst.RegisterFile\[23\]\[29\],68.84
regfile_inst.RegisterFile\[5\]\[14\],68.76
clknet_leaf_14_clk,68.68
clknet_leaf_56_clk,68.65
_04211_,68.44
_01770_,68.42
clknet_leaf_48_clk,68.36
net105,68.2
regfile_inst.RegisterFile\[8\]\[19\],68.14
net157,67.88
clknet_leaf_46_clk,67.66
clknet_leaf_39_clk,67.52
clknet_leaf_12_clk,67.47
_01389_,67.34
net100,67.28
clknet_leaf_58_clk,67.115
regfile_inst.RegisterFile\[16\]\[22\],66.98
_04029_,66.9
_03589_,66.8
_04066_,66.29
clknet_leaf_94_clk,66.26
regfile_inst.RegisterFile\[16\]\[2\],66.12
regfile_inst.RegisterFile\[17\]\[22\],66.09
_01237_,66
_04181_,65.9
_01162_,65.82
_01712_,65.8
_01660_,65.34
_01255_,65.2
_01200_,65.185
_01295_,64.95
_01262_,64.94
regfile_inst.RegisterFile\[28\]\[0\],64.74
regfile_inst.RegisterFile\[10\]\[22\],64.64
_01289_,64.61
clknet_leaf_72_clk,64.54
regfile_inst.RegisterFile\[21\]\[25\],64.5
_03762_,64.46
regfile_inst.RegisterFile\[26\]\[5\],64.405
_03319_,64.21
_04731_,64.12
_01452_,63.98
_01197_,63.885
_01117_,63.24
_04643_,62.98
_01158_,62.96
regfile_inst.RegisterFile\[11\]\[29\],62.92
clknet_leaf_62_clk,62.84
_01609_,62.72
clknet_leaf_13_clk,62.64
clknet_leaf_103_clk,62.5
regfile_inst.RegisterFile\[18\]\[22\],62.425
_01259_,62.42
_01143_,62.2
_01257_,61.67
net160,61.62
_01719_,61.56
_04059_,61.5
_01198_,61.495
_04150_,61.3
regfile_inst.RegisterFile\[8\]\[17\],61.02
_01330_,60.9
net102,60.82
_01267_,60.78
_01343_,60.78
_02141_,60.14
_01539_,60
regfile_inst.RegisterFile\[6\]\[14\],59.98
_03309_,59.9
net108,59.88
_03710_,59.76
_03209_,59.44
regfile_inst.RegisterFile\[4\]\[6\],59.42
_01277_,59.38
_01258_,59.3
_04485_,59.16
_04589_,58.96
clknet_leaf_70_clk,58.78
clknet_leaf_23_clk,58.74
_01701_,58.7
_04094_,58.54
clknet_leaf_49_clk,58.26
_01286_,58.16
net47,57.8
_04541_,57.64
clknet_leaf_82_clk,57.52
_01889_,57.45
_03373_,57.44
_02068_,57.26
_04335_,57.22
_03301_,57.16
_01598_,57.005
_03125_,57
regfile_inst.RegisterFile\[24\]\[4\],56.98
clknet_leaf_18_clk,56.94
net107,56.855
_04519_,55.94
regfile_inst.RegisterFile\[4\]\[8\],55.78
_01182_,55.66
_01280_,55.58
clknet_leaf_33_clk,55.5
net99,55.48
_04262_,55.42
_04595_,55.32
regfile_inst.RegisterFile\[4\]\[7\],55.18
_01250_,55.08
_04491_,54.78
regfile_inst.RegisterFile\[4\]\[9\],54.42
_04663_,54.11
_03364_,54.1
_01577_,54.04
clknet_leaf_43_clk,53.92
_02773_,53.88
regfile_inst.RegisterFile\[10\]\[27\],53.74
clknet_leaf_53_clk,53.66
_01757_,53.52
_04609_,53.34
_04226_,53.06
net122,52.88
_03506_,52.78
_01287_,52.7
_02836_,52.635
_01217_,52.59
_01187_,52.34
_03264_,51.94
net95,51.7
_01222_,51.56
_04276_,51.36
_04363_,51.32
_03427_,51.16
_01397_,50.92
_01533_,50.76
_01656_,50.68
_03491_,50.58
_01214_,50.425
_01623_,50.42
_01690_,50.42
_01705_,50.36
_04000_,50.34
_01202_,50.275
net96,50.16
